District,Avg_Price_m2,Volatility,Listings,Avg_Size,CV,Risk_Score,RAG,Sample_Confidence
Śródmieście-Północ,13964.87,7743.85,30,57.19,55.45,97.88,High,High
Międzyodrze-Wyspa Pucka,14422.83,3333.56,30,51.96,23.11,70.28,High,High
Łasztownia,14584.63,3050.96,30,53.49,20.92,68.86,High,High
Stare Miasto,10441.91,2880.13,32,66.39,27.58,60.67,High,High
Centrum,9774.0,2871.09,30,62.42,29.37,59.99,High,High
Drzetowo-Grabowo,9074.73,2906.53,30,60.17,32.03,59.99,High,High
Gumieńce,12465.77,2171.76,30,51.54,17.42,58.44,High,High
Dąbie,10431.93,2564.87,30,61.2,24.59,57.94,Medium,High
Warszewo,11953.2,2144.12,30,61.88,17.94,57.16,Medium,High
Śródmieście-Zachód,9514.37,2207.34,30,59.01,23.2,53.54,Medium,High
Stołczyn,9647.07,2151.72,30,56.17,22.3,53.18,Medium,High
Turzyn,8654.73,2159.59,30,74.32,24.95,52.17,Medium,High
Żelechowa,10333.2,1869.99,30,56.05,18.1,51.75,Medium,High
Zawadzkiego-Klonowica,10459.33,1803.31,30,51.87,17.24,51.4,Medium,High
Niebuszewo,10329.89,1787.64,38,57.13,17.31,51.02,Low,High
Pogodno,10637.0,1693.65,30,57.67,15.92,50.82,Low,High
Osów,10417.1,1659.06,30,77.63,15.93,50.08,Low,High
Bukowe,10159.72,1672.24,29,63.51,16.46,49.67,Low,High
Zdroje,9339.87,1800.33,30,59.74,19.28,49.4,Low,High
Pomorzany,10322.03,1379.89,30,48.91,13.37,47.44,Low,High
Słoneczne,9320.57,1400.55,30,61.77,15.03,45.51,Low,High
